nid,x,y,demand,ready_time,due_time,service_time,pid,did,time
0,70.0,70.0,10,0.0,634.0,10,0,0,1.0
1,107.0,77.0,34.0,0.0,587.0,10,0,103,0
2,109.0,139.0,8.0,0.0,545.0,10,0,200,0
3,120.0,22.0,39.0,114.0,144.0,10,0,50,18.687892013825444
4,48.0,47.0,-15.0,0.0,593.0,10,43,0,-1
5,116.0,22.0,32.0,0.0,558.0,10,0,206,0
6,12.0,138.0,14.0,275.0,305.0,10,0,173,121.52775192336802
7,86.0,40.0,-9.0,0.0,590.0,10,49,0,-1
8,121.0,124.0,-16.0,0.0,550.0,10,161,0,-1
9,61.0,57.0,-9.0,0.0,609.0,10,150,0,-1
10,40.0,113.0,-34.0,0.0,572.0,10,100,0,-1
11,129.0,24.0,-8.0,0.0,550.0,10,155,0,-1
12,12.0,84.0,16.0,0.0,565.0,10,0,58,0
13,44.0,116.0,27.0,0.0,572.0,10,0,38,0
14,102.0,52.0,-4.0,0.0,588.0,10,79,0,-1
15,41.0,36.0,13.0,51.0,81.0,10,0,70,0
16,132.0,133.0,24.0,0.0,536.0,10,0,170,0
17,104.0,139.0,-25.0,0.0,548.0,10,192,0,-1
18,104.0,54.0,13.0,0.0,587.0,10,0,201,0
19,22.0,104.0,-17.0,0.0,566.0,10,47,0,-1
20,46.0,133.0,-3.0,0.0,557.0,10,98,0,-1
21,138.0,78.0,43.0,0.0,556.0,10,0,26,0
22,16.0,92.0,-5.0,0.0,566.0,10,174,0,-1
23,18.0,104.0,18.0,337.0,367.0,10,0,205,216.34907933972374
24,66.0,82.0,-35.0,0.0,612.0,10,52,0,-1
25,107.0,25.0,-12.0,0.0,566.0,10,63,0,-1
26,139.0,73.0,-43.0,0.0,555.0,10,21,0,-1
27,101.0,0.0,-10.0,0.0,548.0,10,64,0,-1
28,90.0,14.0,-29.0,0.0,565.0,10,109,0,-1
29,20.0,69.0,13.0,378.0,408.0,10,0,110,102.90860739593693
30,64.0,132.0,8.0,62.0,92.0,10,0,83,0.8185933015814408
31,115.0,82.0,30.0,0.0,578.0,10,0,154,0
32,54.0,106.0,-10.0,0.0,585.0,10,84,0,-1
33,30.0,21.0,12.0,0.0,561.0,10,0,186,0
34,63.0,129.0,7.0,206.0,236.0,10,0,62,48.59331942486005
35,82.0,100.0,-12.0,0.0,592.0,10,40,0,-1
36,108.0,30.0,18.0,0.0,569.0,10,0,55,0
37,37.0,73.0,33.0,0.0,591.0,10,0,82,0
38,50.0,112.0,-27.0,0.0,578.0,10,13,0,-1
39,47.0,83.0,-16.0,0.0,598.0,10,127,0,-1
40,92.0,138.0,12.0,402.0,432.0,10,0,35,306.0452799715512
41,81.0,36.0,-33.0,0.0,589.0,10,75,0,-1
42,115.0,124.0,-27.0,411.0,441.0,10,115,0,-1
43,13.0,48.0,15.0,0.0,563.0,10,0,4,0
44,113.0,35.0,9.0,0.0,569.0,10,0,137,0
45,60.0,84.0,23.0,0.0,607.0,10,0,138,0
46,44.0,58.0,-7.0,0.0,596.0,10,141,0,-1
47,8.0,87.0,17.0,0.0,560.0,10,0,19,0
48,116.0,105.0,23.0,0.0,567.0,10,0,148,0
49,117.0,4.0,9.0,0.0,543.0,10,0,7,0
50,140.0,42.0,-39.0,0.0,549.0,10,3,0,-1
51,139.0,68.0,-17.0,0.0,555.0,10,69,0,-1
52,58.0,95.0,35.0,485.0,515.0,10,0,24,117.57351511520298
53,103.0,119.0,18.0,0.0,565.0,10,0,76,0
54,32.0,52.0,32.0,0.0,582.0,10,0,65,0
55,89.0,39.0,-18.0,0.0,588.0,10,36,0,-1
56,54.0,41.0,9.0,0.0,591.0,10,0,129,0
57,39.0,100.0,31.0,0.0,581.0,10,0,97,0
58,5.0,99.0,-16.0,0.0,553.0,10,12,0,-1
59,67.0,96.0,26.0,0.0,598.0,10,0,88,0
60,73.0,96.0,9.0,0.0,598.0,10,0,81,0
61,112.0,13.0,27.0,0.0,554.0,10,0,180,0
62,55.0,127.0,-7.0,0.0,566.0,10,34,0,-1
63,103.0,44.0,12.0,42.0,72.0,10,0,25,0
64,97.0,12.0,10.0,0.0,561.0,10,0,27,0
65,16.0,62.0,-32.0,0.0,570.0,10,54,0,-1
66,140.0,36.0,1.0,0.0,547.0,10,0,158,0
67,90.0,44.0,6.0,52.0,82.0,10,0,172,0
68,113.0,32.0,36.0,144.0,174.0,10,0,116,61.77333869162675
69,104.0,73.0,17.0,0.0,590.0,10,0,51,0
70,36.0,38.0,-13.0,0.0,578.0,10,15,0,-1
71,15.0,4.0,-12.0,101.0,131.0,10,184,0,-1
72,54.0,33.0,-15.0,0.0,584.0,10,166,0,-1
73,70.0,94.0,32.0,24.0,54.0,10,0,203,0
74,35.0,90.0,-1.0,446.0,476.0,10,114,0,-1
75,88.0,29.0,33.0,550.0,580.0,10,0,41,327.7678601210169
76,109.0,131.0,-18.0,226.0,256.0,10,53,0,-1
77,10.0,111.0,21.0,0.0,552.0,10,0,198,0
78,138.0,105.0,-18.0,0.0,548.0,10,92,0,-1
79,113.0,45.0,4.0,0.0,575.0,10,0,14,0
