nid,x,y,demand,ready_time,due_time,service_time,pid,did,time
0,66.66666666666667,66.66666666666667,20,0.0,3060.0,10,0,0,1.0
1,89.33333333333333,4.0,20.0,770.0,1250.0,10,0,380,306.3297674495139
2,42.0,38.666666666666664,20.0,55.0,535.0,10,0,396,0
3,42.666666666666664,34.666666666666664,20.0,464.0,944.0,10,0,141,221.16469740981344
4,92.66666666666667,4.666666666666667,20.0,252.0,732.0,10,0,111,49.67406334431454
5,73.33333333333333,5.333333333333333,-20.0,1732.0,2212.0,10,235,0,-1
6,52.666666666666664,128.66666666666666,-8.0,578.0,1058.0,10,315,0,-1
7,53.333333333333336,126.66666666666667,-30.0,1596.0,2076.0,10,78,0,-1
8,105.33333333333333,54.0,-16.0,1858.0,2338.0,10,227,0,-1
9,40.0,102.0,11.0,209.0,689.0,10,0,152,107.33113478874374
10,94.0,5.333333333333333,-23.0,203.0,683.0,10,217,0,-1
11,8.666666666666666,54.0,-20.0,411.0,891.0,10,243,0,-1
12,45.333333333333336,76.66666666666667,-22.0,2081.0,2561.0,10,150,0,-1
13,100.66666666666667,88.0,-10.0,478.0,958.0,10,67,0,-1
14,58.666666666666664,95.33333333333333,-20.0,1903.0,2383.0,10,241,0,-1
15,10.666666666666666,56.0,20.0,512.0,992.0,10,0,234,438.71496210355895
16,103.33333333333333,11.333333333333334,-20.0,205.0,685.0,10,295,0,-1
17,46.0,100.0,-28.0,2077.0,2557.0,10,322,0,-1
18,36.666666666666664,58.0,30.0,633.0,1113.0,10,0,379,161.0745712522349
19,14.666666666666666,88.66666666666667,-30.0,507.0,987.0,10,97,0,-1
20,6.666666666666667,13.333333333333334,14.0,2175.0,2655.0,10,0,53,1116.3284040356841
21,124.66666666666667,94.66666666666667,10.0,285.0,765.0,10,0,81,161.37930820495376
22,76.0,81.33333333333333,-28.0,672.0,1152.0,10,354,0,-1
23,52.0,79.33333333333333,30.0,106.0,586.0,10,0,262,33.20840543095735
