nid,x,y,demand,ready_time,due_time,service_time,pid,did,time
0,200.0,200.0,40,0.0,3811.0,700,0,0,1.0
1,271.0,343.0,10.0,0.0,3562.0,5,0,272,0
2,85.0,208.0,20.0,221.0,381.0,5,0,683,112.43392414990947
3,82.0,179.0,30.0,0.0,3602.0,5,0,527,0
4,132.0,172.0,10.0,2012.0,2172.0,5,0,487,1800.664753856947
5,278.0,109.0,10.0,0.0,3602.0,5,0,231,0
6,117.0,170.0,-10.0,0.0,3633.0,5,502,0,-1
7,96.0,113.0,20.0,0.0,3586.0,5,0,666,0
8,165.0,85.0,-20.0,0.0,3601.0,5,148,0,-1
9,371.0,171.0,10.0,0.0,3548.0,5,0,707,0
10,141.0,105.0,-20.0,1952.0,2112.0,5,193,0,-1
11,150.0,77.0,-10.0,1866.0,2026.0,5,735,0,-1
12,75.0,208.0,30.0,3001.0,3161.0,5,0,343,2492.638246714132
13,287.0,233.0,-30.0,0.0,3628.0,5,251,0,-1
14,113.0,92.0,30.0,0.0,3583.0,5,0,447,0
15,271.0,375.0,30.0,0.0,3533.0,5,0,290,0
16,201.0,206.0,20.0,16.0,176.0,5,0,200,0
17,352.0,291.0,10.0,0.0,3544.0,5,0,568,0
18,368.0,125.0,10.0,0.0,3538.0,5,0,409,0
19,216.0,84.0,-20.0,0.0,3604.0,5,600,0,-1
20,183.0,37.0,-10.0,0.0,3558.0,5,41,0,-1
21,235.0,115.0,20.0,0.0,3630.0,5,0,206,0
22,273.0,345.0,20.0,0.0,3559.0,5,0,538,0
23,150.0,178.0,10.0,0.0,3667.0,5,0,326,0
24,190.0,186.0,-10.0,0.0,3704.0,5,247,0,-1
25,280.0,24.0,-30.0,0.0,3528.0,5,322,0,-1
26,282.0,95.0,20.0,0.0,3588.0,5,0,117,0
27,261.0,268.0,-20.0,0.0,3630.0,5,576,0,-1
28,212.0,93.0,-20.0,0.0,3614.0,5,344,0,-1
29,228.0,162.0,-20.0,0.0,3674.0,5,432,0,-1
30,379.0,136.0,-20.0,0.0,3531.0,5,133,0,-1
31,72.0,221.0,-20.0,0.0,3592.0,5,631,0,-1
32,73.0,195.0,-40.0,0.0,3594.0,5,245,0,-1
33,351.0,272.0,-20.0,0.0,3554.0,5,114,0,-1
34,57.0,183.0,20.0,2204.0,2364.0,5,0,623,849.2416494493915
35,106.0,50.0,-10.0,1411.0,1571.0,5,739,0,-1
36,264.0,253.0,20.0,0.0,3638.0,5,0,570,0
37,70.0,184.0,20.0,130.0,290.0,5,0,542,35.569201622744956
38,255.0,15.0,20.0,498.0,658.0,5,0,544,289.39882545451314
39,270.0,355.0,30.0,2870.0,3030.0,5,0,469,1403.1158231215438
40,380.0,135.0,20.0,1773.0,1933.0,5,0,758,585.4561023179122
41,110.0,84.0,10.0,0.0,3575.0,5,0,20,0
42,355.0,192.0,10.0,0.0,3566.0,5,0,212,0
43,77.0,209.0,-20.0,0.0,3598.0,5,577,0,-1
44,93.0,65.0,40.0,0.0,3549.0,5,0,763,0
45,183.0,156.0,20.0,0.0,3674.0,5,0,810,0
46,182.0,78.0,30.0,0.0,3598.0,5,0,429,0
47,237.0,373.0,-20.0,490.0,650.0,5,205,0,-1
48,134.0,251.0,-40.0,2801.0,2961.0,5,266,0,-1
49,136.0,240.0,10.0,0.0,3646.0,5,0,414,0
50,267.0,125.0,20.0,1290.0,1450.0,5,0,674,760.7048959305152
51,197.0,184.0,30.0,0.0,3705.0,5,0,428,0
52,167.0,156.0,-30.0,0.0,3666.0,5,654,0,-1
53,268.0,124.0,10.0,0.0,3620.0,5,0,307,0
54,127.0,62.0,10.0,1206.0,1366.0,5,0,97,593.1320943143969
55,127.0,180.0,30.0,0.0,3646.0,5,0,738,0
56,127.0,350.0,10.0,1028.0,1188.0,5,0,582,9.85907914015624
57,146.0,373.0,20.0,0.0,3540.0,5,0,400,0
58,67.0,109.0,10.0,0.0,3560.0,5,0,506,0
59,121.0,232.0,10.0,2126.0,2286.0,5,0,548,2010.7473958311937
60,134.0,195.0,20.0,649.0,809.0,5,0,591,412.92094835253516
61,96.0,104.0,20.0,0.0,3580.0,5,0,90,0
62,112.0,65.0,-30.0,0.0,3560.0,5,302,0,-1
63,351.0,267.0,20.0,0.0,3556.0,5,0,749,0
64,34.0,58.0,20.0,0.0,3503.0,5,0,736,0
65,312.0,217.0,-10.0,2481.0,2641.0,5,334,0,-1
66,143.0,180.0,-10.0,0.0,3661.0,5,358,0,-1
67,63.0,184.0,-10.0,0.0,3584.0,5,413,0,-1
68,282.0,248.0,10.0,0.0,3626.0,5,0,719,0
69,152.0,363.0,-20.0,0.0,3552.0,5,76,0,-1
70,234.0,361.0,30.0,0.0,3557.0,5,0,370,0
71,282.0,198.0,-20.0,0.0,3639.0,5,365,0,-1
72,377.0,124.0,-40.0,2163.0,2323.0,5,194,0,-1
73,252.0,365.0,30.0,0.0,3548.0,5,0,105,0
74,90.0,121.0,-20.0,0.0,3586.0,5,583,0,-1
75,253.0,205.0,10.0,0.0,3668.0,5,0,190,0
76,137.0,364.0,20.0,0.0,3546.0,5,0,69,0
77,93.0,145.0,-20.0,0.0,3601.0,5,340,0,-1
78,79.0,139.0,-20.0,0.0,3586.0,5,253,0,-1
79,343.0,161.0,-20.0,0.0,3573.0,5,561,0,-1
80,74.0,126.0,10.0,0.0,3575.0,5,0,770,0
81,212.0,81.0,30.0,0.0,3602.0,5,0,160,0
