nid,px,py,dx,dy,pready,pdue,dready,ddue,demand,service_time,time
1,181.0,172.0,178.0,165.0,348.0,419.0,811.0,883.0,10.0,10.0,0
2,154.0,31.0,154.0,31.0,795.0,860.0,795.0,860.0,10.0,10.0,0
3,123.0,106.0,123.0,106.0,747.0,797.0,747.0,797.0,20.0,10.0,0
4,24.0,140.0,23.0,137.0,609.0,670.0,703.0,763.0,20.0,10.0,0
5,190.0,28.0,197.0,25.0,115.0,177.0,732.0,788.0,20.0,10.0,0
6,5.0,73.0,8.0,71.0,342.0,412.0,713.0,783.0,10.0,10.0,0
7,103.0,130.0,103.0,130.0,369.0,426.0,369.0,426.0,20.0,10.0,0
8,62.0,50.0,68.0,50.0,486.0,555.0,681.0,741.0,20.0,10.0,0
9,89.0,161.0,89.0,158.0,309.0,385.0,601.0,642.0,10.0,10.0,0
10,117.0,91.0,115.0,89.0,446.0,513.0,554.0,591.0,20.0,10.0,0
11,12.0,156.0,27.0,135.0,540.0,580.0,983.0,1049.0,30.0,10.0,0
12,88.0,165.0,90.0,161.0,220.0,286.0,404.0,472.0,30.0,10.0,0
13,107.0,125.0,105.0,125.0,657.0,697.0,746.0,793.0,10.0,10.0,0
14,6.0,67.0,8.0,74.0,251.0,310.0,535.0,595.0,10.0,10.0,0
15,117.0,193.0,118.0,192.0,151.0,219.0,243.0,309.0,30.0,10.0,0
16,146.0,11.0,154.0,2.0,100.0,160.0,993.0,1053.0,10.0,10.0,0
17,99.0,12.0,93.0,13.0,88.0,125.0,525.0,595.0,30.0,10.0,0
18,188.0,125.0,185.0,115.0,426.0,484.0,618.0,675.0,10.0,10.0,0
19,79.0,115.0,87.0,117.0,187.0,234.0,832.0,881.0,30.0,10.0,0
20,123.0,31.0,119.0,37.0,682.0,748.0,874.0,931.0,20.0,10.0,0
21,116.0,189.0,121.0,189.0,90.0,153.0,628.0,688.0,30.0,10.0,0
22,174.0,128.0,176.0,144.0,79.0,140.0,893.0,958.0,20.0,10.0,0
23,197.0,80.0,198.0,76.0,248.0,313.0,619.0,672.0,10.0,10.0,0
24,151.0,165.0,154.0,163.0,630.0,688.0,714.0,792.0,10.0,10.0,0
25,139.0,7.0,140.0,4.0,242.0,323.0,428.0,505.0,20.0,10.0,0
26,87.0,196.0,78.0,184.0,616.0,673.0,993.0,1055.0,30.0,10.0,0
27,100.0,151.0,96.0,150.0,476.0,536.0,765.0,834.0,10.0,10.0,0
28,99.0,146.0,96.0,147.0,108.0,165.0,188.0,271.0,10.0,10.0,0
29,140.0,181.0,149.0,182.0,90.0,140.0,724.0,773.0,20.0,10.0,0
30,87.0,191.0,85.0,192.0,152.0,218.0,245.0,308.0,10.0,10.0,0
31,189.0,151.0,193.0,159.0,159.0,227.0,544.0,597.0,30.0,10.0,0
32,99.0,144.0,98.0,150.0,44.0,102.0,295.0,350.0,10.0,10.0,0
33,54.0,30.0,64.0,52.0,612.0,678.0,865.0,926.0,10.0,10.0,0
34,8.0,154.0,7.0,151.0,629.0,681.0,808.0,867.0,20.0,10.0,0
35,151.0,99.0,150.0,103.0,377.0,448.0,659.0,719.0,10.0,10.0,0
36,78.0,115.0,87.0,118.0,278.0,325.0,743.0,789.0,10.0,10.0,0
37,179.0,141.0,181.0,147.0,251.0,296.0,445.0,493.0,20.0,10.0,0
38,192.0,151.0,192.0,151.0,348.0,413.0,348.0,413.0,10.0,10.0,0
39,140.0,11.0,143.0,0.0,97.0,139.0,809.0,863.0,10.0,10.0,0
40,59.0,57.0,66.0,58.0,116.0,185.0,1145.0,1203.0,10.0,10.0,0
41,127.0,8.0,122.0,14.0,904.0,958.0,1087.0,1155.0,20.0,10.0,0
42,63.0,58.0,66.0,52.0,55.0,111.0,780.0,828.0,20.0,10.0,0
43,173.0,55.0,178.0,54.0,150.0,203.0,429.0,480.0,20.0,10.0,0
44,199.0,28.0,195.0,25.0,637.0,695.0,906.0,982.0,20.0,10.0,0
45,38.0,190.0,36.0,193.0,435.0,508.0,633.0,678.0,10.0,10.0,0
46,159.0,160.0,152.0,168.0,84.0,140.0,260.0,303.0,20.0,10.0,0
47,196.0,111.0,194.0,112.0,522.0,589.0,613.0,683.0,30.0,10.0,0
48,176.0,173.0,176.0,173.0,105.0,168.0,105.0,168.0,20.0,10.0,0
