nid,px,py,dx,dy,pready,pdue,dready,ddue,demand,service_time,time
1,20.0,59.0,23.0,74.0,485.0,549.0,530.0,614.0,20.0,10,0
2,178.0,61.0,186.0,65.0,342.0,406.0,446.0,519.0,19.0,10,0
3,41.0,186.0,39.0,186.0,109.0,190.0,171.0,209.0,27.0,10,0
4,119.0,113.0,182.0,110.0,40.0,67.0,132.0,224.0,35.0,10,0
5,58.0,19.0,56.0,19.0,160.0,234.0,460.0,511.0,10.0,10,0
6,60.0,71.0,74.0,67.0,236.0,281.0,305.0,376.0,22.0,10,0
7,123.0,90.0,86.0,150.0,25.0,108.0,464.0,543.0,21.0,10,0
8,55.0,100.0,40.0,95.0,45.0,128.0,481.0,554.0,22.0,10,0
9,10.0,20.0,18.0,35.0,555.0,653.0,597.0,670.0,14.0,10,0
10,88.0,152.0,68.0,156.0,136.0,195.0,303.0,360.0,13.0,10,0
11,26.0,41.0,30.0,67.0,129.0,188.0,259.0,312.0,14.0,10,0
12,24.0,131.0,5.0,130.0,274.0,373.0,640.0,691.0,31.0,10,0
13,97.0,192.0,68.0,191.0,181.0,237.0,507.0,588.0,23.0,10,0
14,63.0,44.0,63.0,44.0,494.0,536.0,494.0,536.0,14.0,10,0
15,1.0,54.0,3.0,101.0,273.0,332.0,564.0,600.0,14.0,10,0
16,101.0,127.0,134.0,157.0,27.0,127.0,389.0,477.0,31.0,10,0
17,191.0,138.0,176.0,132.0,165.0,209.0,306.0,400.0,2.0,10,0
18,155.0,17.0,171.0,36.0,99.0,166.0,631.0,665.0,32.0,10,0
19,159.0,187.0,131.0,136.0,462.0,522.0,611.0,681.0,9.0,10,0
20,174.0,194.0,151.0,180.0,456.0,498.0,535.0,606.0,8.0,10,0
21,136.0,90.0,142.0,60.0,37.0,98.0,397.0,459.0,18.0,10,0
22,9.0,122.0,1.0,149.0,352.0,432.0,382.0,454.0,17.0,10,0
23,89.0,153.0,83.0,180.0,74.0,198.0,251.0,311.0,12.0,10,0
