nid,px,py,dx,dy,pready,pdue,dready,ddue,demand,service_time,time
1,89.33333333333333,4.0,93.33333333333333,7.333333333333333,0.0,2951.0,0.0,2953.0,20.0,10,0
2,42.0,38.666666666666664,11.333333333333334,62.0,0.0,2995.0,327.0,447.0,20.0,10,0
3,42.666666666666664,34.666666666666664,41.333333333333336,33.333333333333336,0.0,2990.0,0.0,2988.0,20.0,10,0
4,92.66666666666667,4.666666666666667,103.33333333333333,11.333333333333334,0.0,2950.0,0.0,2951.0,20.0,10,0
5,30.666666666666668,26.666666666666668,73.33333333333333,5.333333333333333,1009.0,1129.0,1912.0,2032.0,15.0,10,0
6,55.333333333333336,120.0,52.666666666666664,128.66666666666666,0.0,2969.0,758.0,878.0,15.0,10,0
7,92.0,48.0,53.333333333333336,126.66666666666667,568.0,688.0,1776.0,1896.0,8.0,10,0
8,105.33333333333333,54.0,103.33333333333333,71.33333333333333,2038.0,2158.0,2200.0,2320.0,23.0,10,0
9,44.0,130.66666666666666,40.0,102.0,0.0,2949.0,0.0,2984.0,23.0,10,0
10,64.66666666666667,4.666666666666667,94.0,5.333333333333333,0.0,2957.0,0.0,2950.0,20.0,10,0
11,8.666666666666666,54.0,6.666666666666667,13.333333333333334,591.0,711.0,0.0,2930.0,30.0,10,0
12,38.0,78.66666666666667,45.333333333333336,76.66666666666667,0.0,3004.0,0.0,3015.0,21.0,10,0
13,100.66666666666667,88.0,74.0,86.0,658.0,778.0,0.0,3019.0,6.0,10,0
14,58.666666666666664,95.33333333333333,27.333333333333332,121.33333333333333,0.0,3006.0,344.0,464.0,17.0,10,0
15,10.666666666666666,56.0,14.666666666666666,40.666666666666664,692.0,812.0,1080.0,1200.0,20.0,10,0
16,58.0,78.0,46.0,100.0,0.0,3029.0,0.0,2992.0,10.0,10,0
17,32.0,70.66666666666667,36.666666666666664,58.0,0.0,2998.0,0.0,3004.0,23.0,10,0
18,8.0,104.0,14.666666666666666,88.66666666666667,580.0,700.0,0.0,2966.0,30.0,10,0
19,124.66666666666667,94.66666666666667,123.33333333333333,82.0,465.0,585.0,0.0,2962.0,10.0,10,0
20,84.66666666666667,40.0,76.0,81.33333333333333,0.0,3002.0,852.0,972.0,23.0,10,0
21,52.0,79.33333333333333,56.0,128.0,286.0,406.0,451.0,571.0,30.0,10,0
22,132.66666666666666,76.66666666666667,124.66666666666667,64.66666666666667,461.0,581.0,714.0,834.0,20.0,10,0
23,123.33333333333333,82.66666666666667,87.33333333333333,25.333333333333332,427.0,547.0,0.0,2981.0,10.0,10,0
