nid,px,py,dx,dy,pready,pdue,dready,ddue,demand,service_time,time
0,70.0,70.0,70.0,70.0,0.0,1351.0,0.0,1351.0,0.0,0.0,0
1,59.0,56.0,63.0,50.0,745.0,780.0,364.0,416.0,10.0,90.0,294.65830170710046
2,0.0,27.0,2.0,28.0,241.0,292.0,148.0,199.0,10.0,90.0,52.50158898356386
3,1.0,34.0,1.0,34.0,77.0,132.0,77.0,132.0,20.0,90.0,6.5171002685043
4,88.0,35.0,87.0,39.0,285.0,358.0,35.0,92.0,20.0,90.0,128.29308455483215
5,90.0,104.0,84.0,99.0,845.0,910.0,32.0,102.0,20.0,90.0,502.16756573719664
6,94.0,70.0,93.0,75.0,556.0,610.0,178.0,238.0,30.0,90.0,349.60493189383305
7,7.0,115.0,6.0,113.0,801.0,872.0,720.0,768.0,20.0,90.0,457.19324357413166
8,102.0,104.0,99.0,96.0,201.0,258.0,38.0,93.0,10.0,90.0,132.44823960839443
9,17.0,37.0,17.0,37.0,493.0,544.0,493.0,544.0,30.0,90.0,265.01025285730975
10,28.0,78.0,35.0,76.0,479.0,529.0,35.0,91.0,10.0,90.0,164.23791287031608
11,64.0,61.0,64.0,61.0,1011.0,1077.0,1011.0,1077.0,20.0,90.0,339.72685004983964
12,94.0,105.0,92.0,107.0,656.0,728.0,465.0,532.0,30.0,90.0,208.96617123502637
13,30.0,136.0,36.0,132.0,792.0,850.0,509.0,571.0,10.0,90.0,481.1830086578502
14,96.0,74.0,96.0,74.0,351.0,437.0,351.0,437.0,10.0,90.0,164.2862758865971
15,121.0,110.0,121.0,112.0,870.0,923.0,221.0,277.0,20.0,90.0,705.4221907098469
16,28.0,74.0,32.0,77.0,188.0,260.0,100.0,157.0,20.0,90.0,19.99105712008634
17,77.0,100.0,77.0,100.0,356.0,429.0,356.0,429.0,20.0,90.0,289.17796719836184
18,6.0,25.0,1.0,24.0,516.0,574.0,333.0,385.0,10.0,90.0,397.0756498941315
19,91.0,95.0,100.0,106.0,1036.0,1097.0,567.0,626.0,10.0,90.0,244.5767091675762
20,90.0,101.0,94.0,104.0,933.0,1008.0,754.0,813.0,10.0,90.0,20.598162211712243
21,4.0,125.0,10.0,118.0,319.0,398.0,76.0,144.0,10.0,90.0,10.371527908883808
22,3.0,135.0,6.0,135.0,433.0,491.0,351.0,386.0,40.0,90.0,266.32779907018727
23,137.0,3.0,129.0,9.0,522.0,581.0,84.0,147.0,10.0,90.0,369.2541894242295
24,134.0,31.0,132.0,24.0,508.0,566.0,311.0,384.0,10.0,90.0,198.5696324285786
25,5.0,119.0,8.0,124.0,425.0,484.0,231.0,298.0,10.0,90.0,279.9902779690372
26,59.0,52.0,61.0,48.0,553.0,602.0,448.0,517.0,20.0,90.0,326.00132636921796
27,98.0,31.0,97.0,28.0,480.0,541.0,110.0,170.0,20.0,90.0,163.41439593980166
28,33.0,131.0,33.0,133.0,979.0,1037.0,890.0,941.0,20.0,90.0,754.7778906979619
29,105.0,110.0,104.0,106.0,567.0,634.0,390.0,434.0,20.0,90.0,12.661918149631271
30,91.0,108.0,87.0,108.0,384.0,430.0,275.0,350.0,20.0,90.0,257.82782215489334
31,36.0,105.0,34.0,108.0,776.0,852.0,506.0,566.0,10.0,90.0,484.2384385379337
32,123.0,112.0,119.0,114.0,405.0,459.0,128.0,185.0,20.0,90.0,336.39215989468534
33,130.0,27.0,130.0,27.0,229.0,280.0,229.0,280.0,30.0,90.0,115.51056010171419
34,22.0,22.0,25.0,26.0,494.0,550.0,128.0,179.0,20.0,90.0,88.47675087031764
35,32.0,128.0,43.0,140.0,1079.0,1123.0,410.0,470.0,10.0,90.0,603.1768795495146
36,35.0,123.0,36.0,135.0,1130.0,1198.0,598.0,669.0,10.0,90.0,922.4857393992238
37,120.0,136.0,119.0,139.0,417.0,482.0,234.0,298.0,20.0,90.0,71.33684532663071
38,137.0,6.0,135.0,0.0,611.0,678.0,331.0,405.0,10.0,90.0,125.02654330420218
39,2.0,132.0,8.0,138.0,526.0,584.0,234.0,316.0,30.0,90.0,256.24248152811236
40,9.0,114.0,0.0,117.0,904.0,954.0,515.0,585.0,30.0,90.0,230.07132222624247
41,57.0,53.0,62.0,58.0,641.0,697.0,173.0,229.0,20.0,90.0,135.15252001487553
42,4.0,30.0,4.0,23.0,693.0,768.0,414.0,491.0,10.0,90.0,244.28158377597427
43,28.0,107.0,26.0,105.0,206.0,275.0,115.0,179.0,40.0,90.0,46.214021251073056
44,24.0,24.0,21.0,26.0,583.0,647.0,311.0,365.0,20.0,90.0,331.9990349325814
45,80.0,97.0,76.0,99.0,457.0,518.0,273.0,330.0,20.0,90.0,122.41833633227978
46,116.0,132.0,115.0,134.0,870.0,953.0,140.0,199.0,30.0,90.0,121.95986024838409
47,91.0,71.0,94.0,73.0,829.0,890.0,741.0,791.0,10.0,90.0,89.05243195457749
48,103.0,34.0,99.0,28.0,577.0,636.0,392.0,442.0,30.0,90.0,37.93287618456992
49,78.0,92.0,74.0,99.0,555.0,610.0,176.0,243.0,20.0,90.0,56.42445652190102
50,35.0,99.0,35.0,102.0,976.0,1025.0,877.0,938.0,10.0,90.0,207.98434172623269
51,57.0,59.0,4.0,28.0,824.0,890.0,616.0,661.0,10.0,90.0,443.55019477689365
52,85.0,106.0,86.0,102.0,186.0,253.0,93.0,159.0,10.0,90.0,31.521640297843415
53,113.0,69.0,112.0,71.0,370.0,440.0,193.0,252.0,20.0,90.0,155.7940310203135
54,74.0,96.0,74.0,93.0,80.0,153.0,23.0,66.0,20.0,90.0,7.638362297348702
55,127.0,108.0,118.0,114.0,677.0,743.0,65.0,126.0,10.0,90.0,441.69857925520085
56,30.0,31.0,30.0,27.0,960.0,1016.0,772.0,835.0,10.0,90.0,55.42820917149164
57,33.0,78.0,30.0,79.0,750.0,809.0,561.0,632.0,20.0,90.0,214.57193774776314
58,102.0,60.0,113.0,71.0,840.0,900.0,286.0,341.0,10.0,90.0,101.51946570921307
59,30.0,24.0,30.0,24.0,673.0,748.0,673.0,748.0,20.0,90.0,5.311611921546524
60,22.0,38.0,18.0,38.0,950.0,1003.0,582.0,638.0,30.0,90.0,276.8988954842238
61,101.0,107.0,103.0,106.0,1038.0,1090.0,296.0,347.0,30.0,90.0,354.8947667069011
62,110.0,66.0,103.0,69.0,650.0,710.0,33.0,93.0,30.0,90.0,254.21878408742901
63,99.0,108.0,99.0,112.0,952.0,992.0,846.0,911.0,20.0,90.0,376.4395543835051
64,34.0,82.0,34.0,82.0,928.0,1000.0,928.0,1000.0,10.0,90.0,16.828620201861476
65,84.0,36.0,93.0,36.0,568.0,626.0,98.0,166.0,20.0,90.0,74.9361795466361
66,119.0,130.0,109.0,131.0,692.0,765.0,72.0,141.0,20.0,90.0,461.1782653799419
67,125.0,108.0,126.0,112.0,778.0,825.0,507.0,543.0,10.0,90.0,180.17817549850744
68,122.0,131.0,119.0,136.0,608.0,661.0,334.0,384.0,30.0,90.0,384.62157288467074
69,139.0,10.0,135.0,3.0,723.0,756.0,250.0,300.0,20.0,90.0,96.28808796076855
70,14.0,131.0,16.0,138.0,712.0,784.0,86.0,142.0,10.0,90.0,223.53569121214284
71,43.0,135.0,40.0,132.0,215.0,293.0,137.0,182.0,20.0,90.0,154.07373404061016
72,21.0,44.0,21.0,48.0,115.0,180.0,53.0,123.0,10.0,90.0,26.540505073333424
73,61.0,54.0,63.0,57.0,262.0,329.0,79.0,140.0,10.0,90.0,8.32088967010638
74,118.0,131.0,121.0,134.0,782.0,857.0,517.0,567.0,20.0,90.0,477.1724189786926
75,21.0,25.0,24.0,26.0,405.0,453.0,219.0,271.0,20.0,90.0,5.036290865315876
76,84.0,39.0,86.0,37.0,659.0,720.0,478.0,531.0,10.0,90.0,106.51286434537417
77,94.0,72.0,95.0,77.0,647.0,703.0,278.0,325.0,10.0,90.0,212.0575788468273
78,131.0,31.0,136.0,29.0,604.0,657.0,406.0,482.0,10.0,90.0,406.59260012934794
79,20.0,39.0,19.0,37.0,855.0,913.0,665.0,738.0,20.0,90.0,96.64483726236914
80,118.0,108.0,122.0,113.0,972.0,1008.0,307.0,374.0,20.0,90.0,152.27454773134824
81,34.0,79.0,32.0,79.0,841.0,902.0,655.0,721.0,20.0,90.0,365.8237855748024
82,21.0,115.0,21.0,115.0,306.0,376.0,306.0,376.0,10.0,90.0,42.71645731226881
83,102.0,110.0,103.0,111.0,754.0,814.0,668.0,719.0,20.0,90.0,567.232514806885
84,88.0,72.0,91.0,78.0,925.0,979.0,88.0,141.0,10.0,90.0,489.5568228176474
85,98.0,70.0,89.0,73.0,467.0,511.0,19.0,94.0,10.0,90.0,24.102226753241972
86,10.0,134.0,10.0,137.0,629.0,677.0,147.0,219.0,30.0,90.0,288.25884934455047
87,111.0,66.0,109.0,71.0,561.0,617.0,95.0,163.0,20.0,90.0,355.13457131986854
88,34.0,138.0,34.0,138.0,704.0,749.0,704.0,749.0,20.0,90.0,375.75983741869874
89,133.0,12.0,136.0,0.0,797.0,874.0,426.0,491.0,30.0,90.0,446.5178017665336
90,42.0,136.0,39.0,128.0,310.0,381.0,65.0,133.0,10.0,90.0,82.06286508573363
91,29.0,28.0,28.0,33.0,865.0,925.0,55.0,128.0,20.0,90.0,407.4382274935754
92,127.0,28.0,127.0,29.0,128.0,195.0,70.0,141.0,20.0,90.0,0.3848355751954524
93,25.0,80.0,27.0,77.0,380.0,440.0,284.0,349.0,10.0,90.0,231.9009986037055
94,107.0,63.0,112.0,67.0,748.0,800.0,462.0,534.0,10.0,90.0,356.9850469064258
95,1.0,109.0,8.0,119.0,616.0,680.0,142.0,197.0,20.0,90.0,240.76025199206106
96,107.0,105.0,101.0,96.0,472.0,539.0,101.0,160.0,10.0,90.0,25.085178690504886
97,97.0,29.0,97.0,29.0,49.0,119.0,49.0,119.0,30.0,90.0,0
98,16.0,38.0,17.0,43.0,387.0,466.0,205.0,279.0,10.0,90.0,129.31054599421125
99,34.0,104.0,32.0,106.0,683.0,760.0,602.0,657.0,10.0,90.0,274.90899620294215
100,31.0,112.0,28.0,99.0,401.0,481.0,51.0,93.0,10.0,90.0,237.91589220233365
101,131.0,11.0,135.0,6.0,895.0,960.0,153.0,210.0,30.0,90.0,275.8974868385317
102,127.0,112.0,127.0,112.0,595.0,636.0,595.0,636.0,20.0,90.0,167.58101733454103
103,86.0,36.0,95.0,35.0,384.0,443.0,196.0,252.0,10.0,90.0,113.89591247010628
104,61.0,59.0,67.0,55.0,931.0,971.0,15.0,62.0,10.0,90.0,733.3369993837456
105,99.0,26.0,96.0,26.0,287.0,363.0,202.0,262.0,10.0,90.0,108.61153122561491
106,19.0,39.0,16.0,39.0,764.0,823.0,314.0,358.0,20.0,90.0,74.65822959929736
